,location,suitability,date,time,current date,current time
0,West Perth,False,13/06/2019,11:25,2019-01-21,10:05:59.063292
1,West Perth,False,03/07/2019,14:50,2019-01-21,10:05:59.063292
2,West Perth,False,22/07/2019,13:00,2019-01-21,10:05:59.063292
3,West Perth,False,22/07/2019,13:50,2019-01-21,10:05:59.063292
4,West Perth,False,22/07/2019,14:50,2019-01-21,10:05:59.063292
0,West Perth,False,13/06/2019,11:25,2019-01-21,10:08:00.737566
1,West Perth,False,03/07/2019,14:50,2019-01-21,10:08:00.737566
2,West Perth,False,22/07/2019,13:00,2019-01-21,10:08:00.737566
3,West Perth,False,22/07/2019,13:50,2019-01-21,10:08:00.737566
4,West Perth,False,22/07/2019,14:50,2019-01-21,10:08:00.737566
0,West Perth,False,13/06/2019,11:25,2019-01-21,10:12:59.231366
1,West Perth,False,03/07/2019,14:50,2019-01-21,10:12:59.231366
2,West Perth,False,22/07/2019,13:00,2019-01-21,10:12:59.231366
3,West Perth,False,22/07/2019,13:50,2019-01-21,10:12:59.231366
4,West Perth,False,22/07/2019,14:50,2019-01-21,10:12:59.231366
0,West Perth,False,03/07/2019,14:50,2019-01-21,10:17:59.189495
1,West Perth,False,22/07/2019,13:00,2019-01-21,10:17:59.189495
2,West Perth,False,22/07/2019,13:50,2019-01-21,10:17:59.189495
3,West Perth,False,22/07/2019,14:50,2019-01-21,10:17:59.189495
0,West Perth,False,22/07/2019,14:50,2019-01-21,10:35:39.211816
0,West Perth,False,22/07/2019,14:50,2019-01-21,10:40:35.665723
0,West Perth,False,13/06/2019,11:25,2019-01-21,11:30:36.451370
0,West Perth,False,07/06/2019,08:45,2019-01-21,11:35:35.182523
1,West Perth,False,13/06/2019,11:25,2019-01-21,11:35:35.182523
0,West Perth,False,07/06/2019,08:45,2019-01-21,11:40:36.859205
1,West Perth,False,13/06/2019,11:25,2019-01-21,11:40:36.859205
0,West Perth,False,07/06/2019,08:45,2019-01-21,11:48:58.788342
1,West Perth,False,10/06/2019,09:45,2019-01-21,11:48:58.788342
2,West Perth,False,03/07/2019,13:00,2019-01-21,11:48:58.788342
